"species","latitud","longitd","site_nm","precisn","rcrdng_","smplng_","isltn_p","substrt","dss_sym","id_mthd","country","year","prmss_t","host","habitat","nrsry_E","nursery","forest","agrcltr","grdn_mn","pnt_f_n","refernc","contact","athrshp","folder"
"Phytophthora ramorum",50.28446378,-4.8101508,"SW9990046500","1",NA,NA,NA,NA,"Sample 25AT 10/04/2006 SX99849 46488
1 plant
     Phytophthora ramorum:","Analysis and identification of pathogens as per Fera Science lab protocols",NA,2006,"Garden","Rhododendron ponticum",NA,"Wider environment",0,0,0,1,0,NA,"Jane Barbrook","yes","P:\NEC05617_PHYTOTHREATS\Data\UK_occurrence\eDOMERO_Jane_Barbrook\Phytophthora Threats - based on P type  - 060218"
"Phytophthora ramorum",50.28446378,-4.8101508,"SW9990046500","1",NA,NA,NA,NA,"Sample 28AT 10/04/2006 SX99845 46500
1 plant
     Phytophthora ramorum:","Analysis and identification of pathogens as per Fera Science lab protocols",NA,2006,"Garden","Rhododendron ponticum",NA,"Wider environment",0,0,0,1,0,NA,"Jane Barbrook","yes","P:\NEC05617_PHYTOTHREATS\Data\UK_occurrence\eDOMERO_Jane_Barbrook\Phytophthora Threats - based on P type  - 060218"
"Phytophthora ramorum",50.28446378,-4.8101508,"SW9990046500","1",NA,NA,NA,NA,"Sample 29AT 10/04/2006 SX99848 46494
1 plant
     Phytophthora ramorum:","Analysis and identification of pathogens as per Fera Science lab protocols",NA,2006,"Garden","Rhododendron ponticum",NA,"Wider environment",0,0,0,1,0,NA,"Jane Barbrook","yes","P:\NEC05617_PHYTOTHREATS\Data\UK_occurrence\eDOMERO_Jane_Barbrook\Phytophthora Threats - based on P type  - 060218"
"Phytophthora ramorum",50.28446378,-4.8101508,"SW9990046500","1",NA,NA,NA,NA,"Sample 33AT 10/04/2006 SX99836 46510
1 plant
     Phytophthora ramorum:","Analysis and identification of pathogens as per Fera Science lab protocols",NA,2006,"Garden","Rhododendron ponticum",NA,"Wider environment",0,0,0,1,0,NA,"Jane Barbrook","yes","P:\NEC05617_PHYTOTHREATS\Data\UK_occurrence\eDOMERO_Jane_Barbrook\Phytophthora Threats - based on P type  - 060218"
"Phytophthora ramorum",50.28446378,-4.8101508,"SW9990046500","1",NA,NA,NA,NA,"Sample 36AT 10/04/2006 SX99799 46591
1 plant
     Phytophthora ramorum:","Analysis and identification of pathogens as per Fera Science lab protocols",NA,2006,"Garden","Rhododendron ponticum",NA,"Wider environment",0,0,0,1,0,NA,"Jane Barbrook","yes","P:\NEC05617_PHYTOTHREATS\Data\UK_occurrence\eDOMERO_Jane_Barbrook\Phytophthora Threats - based on P type  - 060218"
"Phytophthora ramorum",50.28446378,-4.8101508,"SW9990046500","1",NA,NA,NA,NA,"Sample 37AT 11/04/2006 SW99766 46686
1 plant
     Phytophthora ramorum:","Analysis and identification of pathogens as per Fera Science lab protocols",NA,2006,"Garden","Rhododendron ponticum",NA,"Wider environment",0,0,0,1,0,NA,"Jane Barbrook","yes","P:\NEC05617_PHYTOTHREATS\Data\UK_occurrence\eDOMERO_Jane_Barbrook\Phytophthora Threats - based on P type  - 060218"
"Phytophthora ramorum",50.28446378,-4.8101508,"SW9990046500","1",NA,NA,NA,NA,"Sample 39AT 11/04/2006 SW99778 46691
1 plant
     Phytophthora ramorum:","Analysis and identification of pathogens as per Fera Science lab protocols",NA,2006,"Garden","Rhododendron ponticum",NA,"Wider environment",0,0,0,1,0,NA,"Jane Barbrook","yes","P:\NEC05617_PHYTOTHREATS\Data\UK_occurrence\eDOMERO_Jane_Barbrook\Phytophthora Threats - based on P type  - 060218"
"Phytophthora ramorum",50.28446378,-4.8101508,"SW9990046500","1",NA,NA,NA,NA,"Sample 40AT 11/04/2006 SW99784 46688
1 plant
     Phytophthora ramorum:","Analysis and identification of pathogens as per Fera Science lab protocols",NA,2006,"Garden","Rhododendron ponticum",NA,"Wider environment",0,0,0,1,0,NA,"Jane Barbrook","yes","P:\NEC05617_PHYTOTHREATS\Data\UK_occurrence\eDOMERO_Jane_Barbrook\Phytophthora Threats - based on P type  - 060218"
"Phytophthora ramorum",50.28446378,-4.8101508,"SW9990046500","1",NA,NA,NA,NA,"Sample 41AT 11/04/2006 SW99779 46676
1 plant
     Phytophthora ramorum:","Analysis and identification of pathogens as per Fera Science lab protocols",NA,2006,"Garden","Rhododendron ponticum",NA,"Wider environment",0,0,0,1,0,NA,"Jane Barbrook","yes","P:\NEC05617_PHYTOTHREATS\Data\UK_occurrence\eDOMERO_Jane_Barbrook\Phytophthora Threats - based on P type  - 060218"
"Phytophthora ramorum",50.28446378,-4.8101508,"SW9990046500","1",NA,NA,NA,NA,"Sample 42AT 11/04/2006 SW99790 46672
1 plant
     Phytophthora ramorum:","Analysis and identification of pathogens as per Fera Science lab protocols",NA,2006,"Garden","Rhododendron ponticum",NA,"Wider environment",0,0,0,1,0,NA,"Jane Barbrook","yes","P:\NEC05617_PHYTOTHREATS\Data\UK_occurrence\eDOMERO_Jane_Barbrook\Phytophthora Threats - based on P type  - 060218"
"Phytophthora ramorum",50.28446378,-4.8101508,"SW9990046500","1",NA,NA,NA,NA,"Sample 43AT 11/04/2006 SW99802 46685
1 plant
     Phytophthora ramorum:","Analysis and identification of pathogens as per Fera Science lab protocols",NA,2006,"Garden","Rhododendron ponticum",NA,"Wider environment",0,0,0,1,0,NA,"Jane Barbrook","yes","P:\NEC05617_PHYTOTHREATS\Data\UK_occurrence\eDOMERO_Jane_Barbrook\Phytophthora Threats - based on P type  - 060218"
"Phytophthora ramorum",50.28446378,-4.8101508,"SW9990046500","1",NA,NA,NA,NA,"Sample 44AT 11/04/2006 SW99804 46697
1 plant
     Phytophthora ramorum:","Analysis and identification of pathogens as per Fera Science lab protocols",NA,2006,"Garden","Rhododendron ponticum",NA,"Wider environment",0,0,0,1,0,NA,"Jane Barbrook","yes","P:\NEC05617_PHYTOTHREATS\Data\UK_occurrence\eDOMERO_Jane_Barbrook\Phytophthora Threats - based on P type  - 060218"
"Phytophthora ramorum",50.28446378,-4.8101508,"SW9990046500","1",NA,NA,NA,NA,"Sample 47AT 11/04/2006 SW99843 46706
1 plant
     Phytophthora ramorum:","Analysis and identification of pathogens as per Fera Science lab protocols",NA,2006,"Garden","Rhododendron ponticum",NA,"Wider environment",0,0,0,1,0,NA,"Jane Barbrook","yes","P:\NEC05617_PHYTOTHREATS\Data\UK_occurrence\eDOMERO_Jane_Barbrook\Phytophthora Threats - based on P type  - 060218"
"Phytophthora ramorum",50.28446378,-4.8101508,"SW9990046500","1",NA,NA,NA,NA,"Sample 51AT 11/04/2006 SW99813 46735
1 plant
     Phytophthora ramorum:","Analysis and identification of pathogens as per Fera Science lab protocols",NA,2006,"Garden","Rhododendron ponticum",NA,"Wider environment",0,0,0,1,0,NA,"Jane Barbrook","yes","P:\NEC05617_PHYTOTHREATS\Data\UK_occurrence\eDOMERO_Jane_Barbrook\Phytophthora Threats - based on P type  - 060218"
"Phytophthora ramorum",50.28446378,-4.8101508,"SW9990046500","1",NA,NA,NA,NA,"Sample 52AT 11/04/2006 SW99878 46717
1 plant
     Phytophthora ramorum:","Analysis and identification of pathogens as per Fera Science lab protocols",NA,2006,"Garden","Rhododendron ponticum",NA,"Wider environment",0,0,0,1,0,NA,"Jane Barbrook","yes","P:\NEC05617_PHYTOTHREATS\Data\UK_occurrence\eDOMERO_Jane_Barbrook\Phytophthora Threats - based on P type  - 060218"
"Phytophthora ramorum",50.28446378,-4.8101508,"SW9990046500","1",NA,NA,NA,NA,"Sample 2A SW99758 46648
1 plant
LFD positive on entrance paths on way to ravine.     Phytophthora ramorum:","Analysis and identification of pathogens as per Fera Science lab protocols",NA,2006,"Garden","Rhododendron ponticum",NA,"Wider environment",0,0,0,1,0,NA,"Jane Barbrook","yes","P:\NEC05617_PHYTOTHREATS\Data\UK_occurrence\eDOMERO_Jane_Barbrook\Phytophthora Threats - based on P type  - 060218"
"Phytophthora ramorum",50.28446378,-4.8101508,"SW9990046500","1",NA,NA,NA,NA,"Sample 3A SW99778 46594
1 plant
LFD positive by small bend in path 30 m west of ravine.     Phytophthora ramorum:","Analysis and identification of pathogens as per Fera Science lab protocols",NA,2006,"Garden","Rhododendron ponticum",NA,"Wider environment",0,0,0,1,0,NA,"Jane Barbrook","yes","P:\NEC05617_PHYTOTHREATS\Data\UK_occurrence\eDOMERO_Jane_Barbrook\Phytophthora Threats - based on P type  - 060218"
"Phytophthora ramorum",50.28446378,-4.8101508,"SW9990046500","1",NA,NA,NA,NA,"Sample 4A SW99768 46626
1 plant
LFD positive. Rhododendron (specimen) plant ""R74"".     Phytophthora ramorum:","Analysis and identification of pathogens as per Fera Science lab protocols",NA,2006,"Garden","Rhododendron ponticum",NA,"Wider environment",0,0,0,1,0,NA,"Jane Barbrook","yes","P:\NEC05617_PHYTOTHREATS\Data\UK_occurrence\eDOMERO_Jane_Barbrook\Phytophthora Threats - based on P type  - 060218"
"Phytophthora ramorum",50.28446378,-4.8101508,"SW9990046500","1",NA,NA,NA,NA,"Sample 5A SW99768 46626
1 plant
LFD positive. Same plant as 4A; by the ravine.     Phytophthora ramorum:","Analysis and identification of pathogens as per Fera Science lab protocols",NA,2006,"Garden","Rhododendron ponticum",NA,"Wider environment",0,0,0,1,0,NA,"Jane Barbrook","yes","P:\NEC05617_PHYTOTHREATS\Data\UK_occurrence\eDOMERO_Jane_Barbrook\Phytophthora Threats - based on P type  - 060218"
"Phytophthora ramorum",50.28446378,-4.8101508,"SW9990046500","1",NA,NA,NA,NA,"Sample 15AT SX00106 46168
1 plant
Butlers Lane (right hand side going down). Opposite first monkey puzzle tree.     Phytophthora ramorum:","Analysis and identification of pathogens as per Fera Science lab protocols",NA,2006,"Garden","Rhododendron ponticum",NA,"Wider environment",0,0,0,1,0,NA,"Jane Barbrook","yes","P:\NEC05617_PHYTOTHREATS\Data\UK_occurrence\eDOMERO_Jane_Barbrook\Phytophthora Threats - based on P type  - 060218"
"Phytophthora ramorum",50.28446378,-4.8101508,"SW9990046500","1",NA,NA,NA,NA,"Sample 19AT SW99878 46717
1 plant
LFD faint positive. Resample of 52AT 11/04/2006 between Floras Green and Beacon Path.     Phytophthora ramorum:","Analysis and identification of pathogens as per Fera Science lab protocols",NA,2006,"Garden","Rhododendron ponticum",NA,"Wider environment",0,0,0,1,0,NA,"Jane Barbrook","yes","P:\NEC05617_PHYTOTHREATS\Data\UK_occurrence\eDOMERO_Jane_Barbrook\Phytophthora Threats - based on P type  - 060218"
"Phytophthora ramorum",50.28446378,-4.8101508,"SW9990046500","1",NA,NA,NA,NA,"Sample 3AT SW99888 46677
1 plant
Wilt and black stems.     Phytophthora ramorum:","Analysis and identification of pathogens as per Fera Science lab protocols",NA,2006,"woodland","Rhododendron ponticum",NA,"Wider environment",0,1,0,0,0,NA,"Jane Barbrook","yes","P:\NEC05617_PHYTOTHREATS\Data\UK_occurrence\eDOMERO_Jane_Barbrook\Phytophthora Threats - based on P type  - 060218"
"Phytophthora ramorum",50.28446378,-4.8101508,"SW9990046500","1",NA,NA,NA,NA,"Sample AP2. Map ref SW99900 46500. Resample of plant R57     Phytophthora ramorum:","Analysis and identification of pathogens as per Fera Science lab protocols",NA,2006,"woodland","Rhododendron ponticum",NA,"Wider environment",0,1,0,0,0,NA,"Jane Barbrook","yes","P:\NEC05617_PHYTOTHREATS\Data\UK_occurrence\eDOMERO_Jane_Barbrook\Phytophthora Threats - based on P type  - 060218"
"Phytophthora ramorum",50.28446378,-4.8101508,"SW9990046500","1",NA,NA,NA,NA,"Sample AP3. Map ref SW99900 46500. Resample of plant R57     Phytophthora ramorum:","Analysis and identification of pathogens as per Fera Science lab protocols",NA,2006,"woodland","Rhododendron ponticum",NA,"Wider environment",0,1,0,0,0,NA,"Jane Barbrook","yes","P:\NEC05617_PHYTOTHREATS\Data\UK_occurrence\eDOMERO_Jane_Barbrook\Phytophthora Threats - based on P type  - 060218"
"Phytophthora ramorum",50.28446378,-4.8101508,"SW9990046500","1",NA,NA,NA,NA,"Sample 12AT SW99860 46566
1 plant
     Phytophthora ramorum:","Analysis and identification of pathogens as per Fera Science lab protocols",NA,2006,"woodland","Rhododendron wallichii",NA,"Wider environment",0,1,0,0,0,NA,"Jane Barbrook","yes","P:\NEC05617_PHYTOTHREATS\Data\UK_occurrence\eDOMERO_Jane_Barbrook\Phytophthora Threats - based on P type  - 060218"
"Phytophthora ramorum",50.28446378,-4.8101508,"SW9990046500","1",NA,NA,NA,NA,"Sample AP1. Map ref SW99900 46500. Resample of R57.     Phytophthora ramorum:","Analysis and identification of pathogens as per Fera Science lab protocols",NA,2006,"woodland",NA,NA,"Wider environment",0,1,0,0,0,NA,"Jane Barbrook","yes","P:\NEC05617_PHYTOTHREATS\Data\UK_occurrence\eDOMERO_Jane_Barbrook\Phytophthora Threats - based on P type  - 060218"
"Phytophthora ramorum",50.28446378,-4.8101508,"SW9990046500","1",NA,NA,NA,NA,"Sample 1AT SX00118 45863
1 plant
Leaf tips     Phytophthora ramorum:","Analysis and identification of pathogens as per Fera Science lab protocols",NA,2006,"woodland","Rhododendron ponticum",NA,"Wider environment",0,1,0,0,0,NA,"Jane Barbrook","yes","P:\NEC05617_PHYTOTHREATS\Data\UK_occurrence\eDOMERO_Jane_Barbrook\Phytophthora Threats - based on P type  - 060218"
"Phytophthora ramorum",50.28446378,-4.8101508,"SW9990046500","1",NA,NA,NA,NA,"Sample 2AT SX00129 45857
1 plant
Leaf litter     Phytophthora ramorum:","Analysis and identification of pathogens as per Fera Science lab protocols",NA,2006,"woodland","Rhododendron ponticum",NA,"Wider environment",0,1,0,0,0,NA,"Jane Barbrook","yes","P:\NEC05617_PHYTOTHREATS\Data\UK_occurrence\eDOMERO_Jane_Barbrook\Phytophthora Threats - based on P type  - 060218"
"Phytophthora ramorum",50.28446378,-4.8101508,"SW9990046500","1",NA,NA,NA,NA,"Sample 11AT SX00093 46204
1 plant
Leaf tips     Phytophthora ramorum:","Analysis and identification of pathogens as per Fera Science lab protocols",NA,2006,"woodland","Rhododendron ponticum",NA,"Wider environment",0,1,0,0,0,NA,"Jane Barbrook","yes","P:\NEC05617_PHYTOTHREATS\Data\UK_occurrence\eDOMERO_Jane_Barbrook\Phytophthora Threats - based on P type  - 060218"
"Phytophthora ramorum",50.28446378,-4.8101508,"SW9990046500","1",NA,NA,NA,NA,"Sample 12AT SX00093 46204
1 plant
Leaves blighted     Phytophthora ramorum:","Analysis and identification of pathogens as per Fera Science lab protocols",NA,2006,"woodland","Rhododendron ponticum",NA,"Wider environment",0,1,0,0,0,NA,"Jane Barbrook","yes","P:\NEC05617_PHYTOTHREATS\Data\UK_occurrence\eDOMERO_Jane_Barbrook\Phytophthora Threats - based on P type  - 060218"
