"species","latitud","longitd","site_nm","precisn","rcrdng_","smplng_","isltn_p","substrt","dss_sym","id_mthd","country","year","prmss_t","host","habitat","nrsry_E","nursery","forest","agrcltr","grdn_mn","pnt_f_n","refernc","contact","athrshp","folder"
"Phytophthora ramorum",56.19066307,-5.05504643,"Strachur House, Argyll","6703427.332",NA,NA,NA,NA,NA,NA,"Scotland",2012,"PG","Rhod.",NA,"Wider Environment",0,0,0,1,0,"SASA","Alexandra.Schlenzig@sasa.gov.scot","yes","P:/NEC05617_PHYTOTHREATS/Data/UK_occurrence/SASA_ASchlenzig"
"Phytophthora ramorum",56.27455432,-3.91278649,"Braco Castle, Dunblane","6206902.733",NA,NA,NA,NA,NA,NA,"Scotland",2012,"PG","Rhod. sp.",NA,"Wider Environment",0,0,0,1,0,"SASA","Alexandra.Schlenzig@sasa.gov.scot","yes","P:/NEC05617_PHYTOTHREATS/Data/UK_occurrence/SASA_ASchlenzig"
"Phytophthora ramorum",56.27455432,-3.91278649,"Braco Castle, Dunblane","6206902.733",NA,NA,NA,NA,NA,NA,"Scotland",2012,"PG","Rhod. ponticum",NA,"Wider Environment",0,0,0,1,0,"SASA","Alexandra.Schlenzig@sasa.gov.scot","yes","P:/NEC05617_PHYTOTHREATS/Data/UK_occurrence/SASA_ASchlenzig"
"Phytophthora ramorum",56.27455432,-3.91278649,"Braco Castle, Dunblane","6206902.733",NA,NA,NA,NA,NA,NA,"Scotland",2012,"PG","Rhod. ponticum",NA,"Wider Environment",0,0,0,1,0,"SASA","Alexandra.Schlenzig@sasa.gov.scot","yes","P:/NEC05617_PHYTOTHREATS/Data/UK_occurrence/SASA_ASchlenzig"
"Phytophthora ramorum",55.4784081,-5.09268533,"Lansdowne, Whiting Bay","367684.6142",NA,NA,NA,NA,NA,NA,"Scotland",2012,"PG","Rhod. ponticum",NA,"Wider Environment",0,0,0,1,0,"SASA","Alexandra.Schlenzig@sasa.gov.scot","yes","P:/NEC05617_PHYTOTHREATS/Data/UK_occurrence/SASA_ASchlenzig"
"Phytophthora ramorum",55.4784081,-5.09268533,"Lansdowne, Whiting Bay","367684.6142",NA,NA,NA,NA,NA,NA,"Scotland",2012,"PG","Rhod. ponticum",NA,"Wider Environment",0,0,0,1,0,"SASA","Alexandra.Schlenzig@sasa.gov.scot","yes","P:/NEC05617_PHYTOTHREATS/Data/UK_occurrence/SASA_ASchlenzig"
"Phytophthora ramorum",55.4784081,-5.09268533,"Lansdowne, Whiting Bay","367684.6142",NA,NA,NA,NA,NA,NA,"Scotland",2012,"PG","Rhod. ponticum",NA,"Wider Environment",0,0,0,1,0,"SASA","Alexandra.Schlenzig@sasa.gov.scot","yes","P:/NEC05617_PHYTOTHREATS/Data/UK_occurrence/SASA_ASchlenzig"
"Phytophthora ramorum",55.4784081,-5.09268533,"Lansdowne, Whiting Bay","367684.6142",NA,NA,NA,NA,NA,NA,"Scotland",2012,"PG","Rhod. ponticum",NA,"Wider Environment",0,0,0,1,0,"SASA","Alexandra.Schlenzig@sasa.gov.scot","yes","P:/NEC05617_PHYTOTHREATS/Data/UK_occurrence/SASA_ASchlenzig"
"Phytophthora ramorum",55.63920914,-4.65612139,"Eglington Country Park, Irvine","1544535.701",NA,NA,NA,NA,NA,NA,"Scotland",2012,"PG","Rhod. ponticum",NA,"Wider Environment",0,0,0,1,0,"SASA","Alexandra.Schlenzig@sasa.gov.scot","yes","P:/NEC05617_PHYTOTHREATS/Data/UK_occurrence/SASA_ASchlenzig"
"Phytophthora ramorum",57.52288412,-2.03063604,"Arden Country Park, Mintlaw","370718.4967",NA,NA,NA,NA,NA,NA,"Scotland",2012,"PG","Rhod. ponticum",NA,"Wider Environment",0,0,0,1,0,"SASA","Alexandra.Schlenzig@sasa.gov.scot","yes","P:/NEC05617_PHYTOTHREATS/Data/UK_occurrence/SASA_ASchlenzig"
"Phytophthora ramorum",57.52288412,-2.03063604,"Arden Country Park, Mintlaw","370718.4967",NA,NA,NA,NA,NA,NA,"Scotland",2012,"PG","Rhod. ponticum",NA,"Wider Environment",0,0,0,1,0,"SASA","Alexandra.Schlenzig@sasa.gov.scot","yes","P:/NEC05617_PHYTOTHREATS/Data/UK_occurrence/SASA_ASchlenzig"
"Phytophthora ramorum",55.08565456,-4.99539514,"Glenapp Castle, Ayrshire","247719.1157",NA,NA,NA,NA,NA,NA,"Scotland",2012,"PG","Rhod. ponticum",NA,"Wider Environment",0,0,0,1,0,"SASA","Alexandra.Schlenzig@sasa.gov.scot","yes","P:/NEC05617_PHYTOTHREATS/Data/UK_occurrence/SASA_ASchlenzig"
"Phytophthora ramorum",55.08565456,-4.99539514,"Glenapp Castle, Ayrshire","247719.1157",NA,NA,NA,NA,NA,NA,"Scotland",2012,"PG","Rhod. ponticum",NA,"Wider Environment",0,0,0,1,0,"SASA","Alexandra.Schlenzig@sasa.gov.scot","yes","P:/NEC05617_PHYTOTHREATS/Data/UK_occurrence/SASA_ASchlenzig"
"Phytophthora ramorum",55.14857858,-4.8737283,"Bargany Gardens, Girvan","6114044.287",NA,NA,NA,NA,NA,NA,"Scotland",2012,"PG","Rhod. ponticum",NA,"Wider Environment",0,0,0,1,0,"SASA","Alexandra.Schlenzig@sasa.gov.scot","yes","P:/NEC05617_PHYTOTHREATS/Data/UK_occurrence/SASA_ASchlenzig"
"Phytophthora ramorum",55.96976118,-4.32444707,"Mugdock Counrty Park, East Dunbartonshire","645493.3536",NA,NA,NA,NA,NA,NA,"Scotland",2012,"PG","Rhod. ponticum",NA,"Wider Environment",0,0,0,1,0,"SASA","Alexandra.Schlenzig@sasa.gov.scot","yes","P:/NEC05617_PHYTOTHREATS/Data/UK_occurrence/SASA_ASchlenzig"
"Phytophthora ramorum",55.96976118,-4.32444707,"Mugdock Counrty Park, East Dunbartonshire","645493.3536",NA,NA,NA,NA,NA,NA,"Scotland",2012,"PG","Rhod. ponticum",NA,"Wider Environment",0,0,0,1,0,"SASA","Alexandra.Schlenzig@sasa.gov.scot","yes","P:/NEC05617_PHYTOTHREATS/Data/UK_occurrence/SASA_ASchlenzig"
"Phytophthora ramorum",54.90979976,-4.94617616,"Castle Kennedy, Stranraer","959359.3701",NA,NA,NA,NA,NA,NA,"Scotland",2012,"PG","Rhod sp.",NA,"Wider Environment",0,0,0,1,0,"SASA","Alexandra.Schlenzig@sasa.gov.scot","yes","P:/NEC05617_PHYTOTHREATS/Data/UK_occurrence/SASA_ASchlenzig"
"Phytophthora ramorum",54.90979976,-4.94617616,"Castle Kennedy, Stranraer","959359.3701",NA,NA,NA,NA,NA,NA,"Scotland",2012,"PG","Rhod sp.",NA,"Wider Environment",0,0,0,1,0,"SASA","Alexandra.Schlenzig@sasa.gov.scot","yes","P:/NEC05617_PHYTOTHREATS/Data/UK_occurrence/SASA_ASchlenzig"
"Phytophthora ramorum",54.90979976,-4.94617616,"Castle Kennedy, Stranraer","959359.3701",NA,NA,NA,NA,NA,NA,"Scotland",2012,"PG","Rhod sp.",NA,"Wider Environment",0,0,0,1,0,"SASA","Alexandra.Schlenzig@sasa.gov.scot","yes","P:/NEC05617_PHYTOTHREATS/Data/UK_occurrence/SASA_ASchlenzig"
"Phytophthora ramorum",55.89302254,-5.44273237,"Stonefield Castle, Tarbert, Mull of Kintyre","9607735.897",NA,NA,NA,NA,NA,NA,"Scotland",2012,"PG","Rhod. ponticum",NA,"Wider Environment",0,0,0,1,0,"SASA","Alexandra.Schlenzig@sasa.gov.scot","yes","P:/NEC05617_PHYTOTHREATS/Data/UK_occurrence/SASA_ASchlenzig"
"Phytophthora ramorum",57.52288412,-2.03063604,"Aden Counrty Park, Mintlaw","370718.4967",NA,NA,NA,NA,NA,NA,"Scotland",2012,"PG","Rhod.",NA,"Wider Environment",0,0,0,1,0,"SASA","Alexandra.Schlenzig@sasa.gov.scot","yes","P:/NEC05617_PHYTOTHREATS/Data/UK_occurrence/SASA_ASchlenzig"
"Phytophthora ramorum",57.52288412,-2.03063604,"Aden Counrty Park, Mintlaw","370718.4967",NA,NA,NA,NA,NA,NA,"Scotland",2012,"PG","Rhod.",NA,"Wider Environment",0,0,0,1,0,"SASA","Alexandra.Schlenzig@sasa.gov.scot","yes","P:/NEC05617_PHYTOTHREATS/Data/UK_occurrence/SASA_ASchlenzig"
"Phytophthora ramorum",56.19066307,-5.05504643,"Strachur House, Argyll","6703427.332",NA,NA,NA,NA,NA,NA,"Scotland",2012,"PG","Rhod. ponticum",NA,"Wider Environment",0,0,0,1,0,"SASA","Alexandra.Schlenzig@sasa.gov.scot","yes","P:/NEC05617_PHYTOTHREATS/Data/UK_occurrence/SASA_ASchlenzig"
"Phytophthora ramorum",56.19066307,-5.05504643,"Strachur House, Argyll","6703427.332",NA,NA,NA,NA,NA,NA,"Scotland",2012,"PG","Rhod. ponticum",NA,"Wider Environment",0,0,0,1,0,"SASA","Alexandra.Schlenzig@sasa.gov.scot","yes","P:/NEC05617_PHYTOTHREATS/Data/UK_occurrence/SASA_ASchlenzig"
"Phytophthora ramorum",57.52288412,-2.03063604,"Aden Country Park, Mintlaw","370718.4967",NA,NA,NA,NA,NA,NA,"Scotland",2013,"PG","Rhod. ponticum",NA,"Wider Environment",0,0,0,1,0,"SASA","Alexandra.Schlenzig@sasa.gov.scot","yes","P:/NEC05617_PHYTOTHREATS/Data/UK_occurrence/SASA_ASchlenzig"
"Phytophthora ramorum",55.14857858,-4.8737283,"Bargany Gardens, Girvan","6114044.287",NA,NA,NA,NA,NA,NA,"Scotland",2013,"PG","Rhod sp.",NA,"Wider Environment",0,0,0,1,0,"SASA","Alexandra.Schlenzig@sasa.gov.scot","yes","P:/NEC05617_PHYTOTHREATS/Data/UK_occurrence/SASA_ASchlenzig"
"Phytophthora ramorum",56.38224808,-6.08494194,"Tiroran  , Isle of Mull","2974681.456",NA,NA,NA,NA,NA,NA,"Scotland",2013,"PG","Rhod. ponticum",NA,"Wider Environment",0,0,0,1,0,"SASA","Alexandra.Schlenzig@sasa.gov.scot","yes","P:/NEC05617_PHYTOTHREATS/Data/UK_occurrence/SASA_ASchlenzig"
"Phytophthora ramorum",56.38224808,-6.08494194,"Tiroran  , Isle of Mull","2974681.456",NA,NA,NA,NA,NA,NA,"Scotland",2013,"PG","Pieris sp.",NA,"Wider Environment",0,0,0,1,0,"SASA","Alexandra.Schlenzig@sasa.gov.scot","yes","P:/NEC05617_PHYTOTHREATS/Data/UK_occurrence/SASA_ASchlenzig"
"Phytophthora ramorum",56.38224808,-6.08494194,"Tiroran  , Isle of Mull","2974681.456",NA,NA,NA,NA,NA,NA,"Scotland",2013,"PG","Rhod. ponticum",NA,"Wider Environment",0,0,0,1,0,"SASA","Alexandra.Schlenzig@sasa.gov.scot","yes","P:/NEC05617_PHYTOTHREATS/Data/UK_occurrence/SASA_ASchlenzig"
"Phytophthora ramorum",55.3541462,-4.78956385,"Culzean Castle, Ayrshire","61034.19144",NA,NA,NA,NA,NA,NA,"Scotland",2013,"PG","Rhod.",NA,"Wider Environment",0,0,0,1,0,"SASA","Alexandra.Schlenzig@sasa.gov.scot","yes","P:/NEC05617_PHYTOTHREATS/Data/UK_occurrence/SASA_ASchlenzig"
"Phytophthora ramorum",54.90979976,-4.94617616,"Castle Kennedy, Stranraer","959359.3701",NA,NA,NA,NA,NA,NA,"Scotland",2013,"PG","Rhod. ponticum",NA,"Wider Environment",0,0,0,1,0,"SASA","Alexandra.Schlenzig@sasa.gov.scot","yes","P:/NEC05617_PHYTOTHREATS/Data/UK_occurrence/SASA_ASchlenzig"
"Phytophthora ramorum",56.27455432,-3.91278649,"Braco Castle, Dunblane","6206902.733",NA,NA,NA,NA,NA,NA,"Scotland",2013,"PG","Rhod sp.",NA,"Wider Environment",0,0,0,1,0,"SASA","Alexandra.Schlenzig@sasa.gov.scot","yes","P:/NEC05617_PHYTOTHREATS/Data/UK_occurrence/SASA_ASchlenzig"
"Phytophthora ramorum",56.27455432,-3.91278649,"Braco Castle, Dunblane","6206902.733",NA,NA,NA,NA,NA,NA,"Scotland",2013,"PG","Rhod sp.",NA,"Wider Environment",0,0,0,1,0,"SASA","Alexandra.Schlenzig@sasa.gov.scot","yes","P:/NEC05617_PHYTOTHREATS/Data/UK_occurrence/SASA_ASchlenzig"
"Phytophthora ramorum",56.20429299,-3.19499948,"Leslie House, Glenrothes","74279.16669",NA,NA,NA,NA,NA,NA,"Scotland",2013,"PG","Rhod. ponticum",NA,"Wider Environment",0,0,0,1,0,"SASA","Alexandra.Schlenzig@sasa.gov.scot","yes","P:/NEC05617_PHYTOTHREATS/Data/UK_occurrence/SASA_ASchlenzig"
"Phytophthora ramorum",56.20429299,-3.19499948,"Leslie House, Glenrothes","74279.16669",NA,NA,NA,NA,NA,NA,"Scotland",2013,"PG","Rhod sp.",NA,"Wider Environment",0,0,0,1,0,"SASA","Alexandra.Schlenzig@sasa.gov.scot","yes","P:/NEC05617_PHYTOTHREATS/Data/UK_occurrence/SASA_ASchlenzig"
"Phytophthora ramorum",56.38224808,-6.08494194,"Tiroran House, Isle of Mull","2974681.456",NA,NA,NA,NA,NA,NA,"Scotland",2013,"PG","Rhod sp.",NA,"Wider Environment",0,0,0,1,0,"SASA","Alexandra.Schlenzig@sasa.gov.scot","yes","P:/NEC05617_PHYTOTHREATS/Data/UK_occurrence/SASA_ASchlenzig"
"Phytophthora ramorum",54.92079616,-3.94919472,"Threave Garden, Castle Douglas","952228.6225",NA,NA,NA,NA,NA,NA,"Scotland",2013,"PG","Rhod.",NA,"Wider Environment",0,0,0,1,0,"SASA","Alexandra.Schlenzig@sasa.gov.scot","yes","P:/NEC05617_PHYTOTHREATS/Data/UK_occurrence/SASA_ASchlenzig"
"Phytophthora ramorum",54.92079616,-3.94919472,"Threave Garden, Castle Douglas","952228.6225",NA,NA,NA,NA,NA,NA,"Scotland",2013,"PG","Rhod.",NA,"Wider Environment",0,0,0,1,0,"SASA","Alexandra.Schlenzig@sasa.gov.scot","yes","P:/NEC05617_PHYTOTHREATS/Data/UK_occurrence/SASA_ASchlenzig"
"Phytophthora ramorum",55.14857858,-4.8737283,"Bargany Gardens, Girvan","6114044.287",NA,NA,NA,NA,NA,NA,"Scotland",2013,"PG","Rhod. ponticum",NA,"Wider Environment",0,0,0,1,0,"SASA","Alexandra.Schlenzig@sasa.gov.scot","yes","P:/NEC05617_PHYTOTHREATS/Data/UK_occurrence/SASA_ASchlenzig"
"Phytophthora ramorum",55.14857858,-4.8737283,"Bargany Gardens, Girvan","6114044.287",NA,NA,NA,NA,NA,NA,"Scotland",2013,"PG","Rhod. ponticum",NA,"Wider Environment",0,0,0,1,0,"SASA","Alexandra.Schlenzig@sasa.gov.scot","yes","P:/NEC05617_PHYTOTHREATS/Data/UK_occurrence/SASA_ASchlenzig"
"Phytophthora ramorum",55.14857858,-4.8737283,"Bargany Gardens, Girvan","6114044.287",NA,NA,NA,NA,NA,NA,"Scotland",2013,"PG","Rhod. ponticum",NA,"Wider Environment",0,0,0,1,0,"SASA","Alexandra.Schlenzig@sasa.gov.scot","yes","P:/NEC05617_PHYTOTHREATS/Data/UK_occurrence/SASA_ASchlenzig"
"Phytophthora ramorum",55.14857858,-4.8737283,"Bargany Gardens, Girvan","6114044.287",NA,NA,NA,NA,NA,NA,"Scotland",2013,"PG","Rhod sp.",NA,"Wider Environment",0,0,0,1,0,"SASA","Alexandra.Schlenzig@sasa.gov.scot","yes","P:/NEC05617_PHYTOTHREATS/Data/UK_occurrence/SASA_ASchlenzig"
"Phytophthora ramorum",55.14857858,-4.8737283,"Bargany Gardens, Girvan","6114044.287",NA,NA,NA,NA,NA,NA,"Scotland",2013,"PG","Rhod sp.",NA,"Wider Environment",0,0,0,1,0,"SASA","Alexandra.Schlenzig@sasa.gov.scot","yes","P:/NEC05617_PHYTOTHREATS/Data/UK_occurrence/SASA_ASchlenzig"
