FC_code,Common name,UK_forestry_species,Phytophthora species,host_pathogen_reference,location,Phytophthora_in_UK,Silvifuture_high_priority
SY,Sycamore,Acer pseudoplatanus,Phytophthora cambivora,"Vannini, A. and Vettraino, A. 2011. Phytophthora cambivora. Forest Phytophthoras 1(1). doi: 10.5399/osu/fp.1.1.1811",,Y,
SY,Sycamore,Acer pseudoplatanus,Phytophthora acerina,"Ginetti, B., Moricca, S., Squires, J.N., Cooke, D.E.L., Ragazzi, A. & Jung, T. (2014) Phytophthora acerina sp. nov., a new species causing bleeding cankers and dieback of Acer pseudoplatanus trees in planted forests in northern Italy. Plant Pathology, 63, 858–876.",,N,
SY,Sycamore,Acer pseudoplatanus,Phytophthora citricola,,,Y,
SY,Sycamore,Acer pseudoplatanus,Phytophthora cactorum ,"Hudler, G.W., 2013. Phytophthora cactorum. Forest Phytophthoras 3(1). doi:10.5399/osu/fp.3.1.3396",,Y,
SY,Sycamore,Acer pseudoplatanus,Phytophthora ramorum,"Denman, S., Kirk, S., Whybrow, A., Orton, E. & Webber, J.F. (2006) Phytophthora kernoviae and P. ramorum: Host susceptibility and sporulation potential on foliage of susceptible trees. EPPO Bulletin, 36, 373–376.",,Y,
,Silver maple,Acer saccharinum,Phytophthora cactorum ,"Hudler, G.W., 2013. Phytophthora cactorum. Forest Phytophthoras 3(1). doi:10.5399/osu/fp.3.1.3396",,Y,
,Horse chestnut,Aesculus hippocastanum,Phytophthora ramorum,"Brasier, C.M., Beales, P. a, Kirk, S. a, Denman, S. & Rose, J. (2005) Phytophthora kernoviae sp. nov., an invasive pathogen causing bleeding stem lesions on forest trees and foliar necrosis of ornamentals in the UK. Mycological research, 109, 853–859.",,Y,
,Horse chestnut,Aesculus hippocastanum,Phytophthora kernoviae,"Denman, S., Kirk, S., Whybrow, A., Orton, E. & Webber, J.F. (2006) Phytophthora kernoviae and P. ramorum: Host susceptibility and sporulation potential on foliage of susceptible trees. EPPO Bulletin, 36, 373–376.",,Y,
,Horse chestnut,Aesculus hippocastanum,Phytophthora cambivora,"Denman, S., Kirk, S., Whybrow, A., Orton, E. & Webber, J.F. (2006) Phytophthora kernoviae and P. ramorum: Host susceptibility and sporulation potential on foliage of susceptible trees. EPPO Bulletin, 36, 373–376.",,Y,
,Horse chestnut,Aesculus hippocastanum,Phytophthora cactorum ,"Cerny, K., Strnadova, V., Gregorova, B., Holub, V., Tomsovsky, M., Mrazkova, M. & Gabrielova, S. (2008) Phytophthora cactorum causing bleeding canker of common beech, horse chestnut, and white poplar in the Czech Republic. New Disease Reports, 17, 37.",,Y,
,Horse chestnut,Aesculus hippocastanum,Phytophthora megasperma,"Brasier (2009) The role of Phytophthora pathogens in forests and semi-natural communities in Europe and Africa.  IUFRO Working Party 7.02.09
Proceedings from the First International
Meeting on Phytophthoras in Forest and
Wildland Ecosystems
 ",,#N/A,
,Horse chestnut,Aesculus hippocastanum,Phytophthora citricola,"Brasier (2009) The role of Phytophthora pathogens in forests and semi-natural communities in Europe and Africa.  IUFRO Working Party 7.02.09
Proceedings from the First International
Meeting on Phytophthoras in Forest and
Wildland Ecosystems
 ",,Y,
,Horse chestnut,Aesculus hippocastanum,Phytophthora pseudosyringae,,,,
,Horse chestnut,Aesculus hippocastanum,Phytophthora obscura,"Grunwald, N.J., Werres, S., Goss, E.M., Taylor, C.R. & Fieland, V.J. (2012) Phytophthora obscura sp. nov., a new species of the novel Phytophthora subclade 8d. Plant Pathology, 61, 610–622.",,#N/A,
,Italian alder,Alnus cordata,Phytophthora alni subsp. alni,"Webber, J., Gibbs, J. & Hendry, S. (2004) Phytophthora Disease of Alder; ?erný, K. & Strnadová, V. (2010) Phytophthora alder decline: Disease symptoms, causal agent and its distribution in the Czech Republic. Plant Protection Science, 46, 12–18;Cerny, K., Gregorova, B., Strnadova, V., Holub, V., Tomsovsky, M. & Cervenka, M. (2008) Phytophthora alni causing decline of black and grey alders in the Czech Republic. Plant Pathology, 57, 370.; La Porta, N., Capretti, P., Thomsen, I.M., Kasanen, R., Hietala, a. M. & Von Weissenberg, K. (2008) Forest pathogens with higher damage potential due to climate change in Europe. Canadian Journal of Plant Pathology, 30, 177–195.",,Y,
,Italian alder,Alnus cordata,Phytophthora siskiyouensis,"Hansen, E. M., Reeser, P., and Rooney-Latham, S. 2011. Phytophthora siskiyouensis. Forest Phytophthoras 1(1). doi: 10.5399/osu/fp.1.1.1826",,Y,
CAR,Common (or black) alder,Alnus glutinosa,Phytophthora alni subsp. alni,"Webber, J., Gibbs, J. & Hendry, S. (2004) Phytophthora Disease of Alder; ?erný, K. & Strnadová, V. (2010) Phytophthora alder decline: Disease symptoms, causal agent and its distribution in the Czech Republic. Plant Protection Science, 46, 12–18;Cerny, K., Gregorova, B., Strnadova, V., Holub, V., Tomsovsky, M. & Cervenka, M. (2008) Phytophthora alni causing decline of black and grey alders in the Czech Republic. Plant Pathology, 57, 370; Pintos Varela, C., Martínez, C.R., Vázquez, J.P.M. & Casal, O.A. (2010) First Report of Phytophthora Rot on Alders Caused by Phytophthora alni subsp. alni in Spain. Plant Disease, 94, 273.",,Y,
CAR,Common (or black) alder,Alnus glutinosa,Phytophthora siskiyouensis,"Hansen, E. M., Reeser, P., and Rooney-Latham, S. 2011. Phytophthora siskiyouensis. Forest Phytophthoras 1(1). doi: 10.5399/osu/fp.1.1.1826",,Y,
CAR,Common (or black) alder,Alnus glutinosa,Phytophthora alni subsp. uniformis,"Redondo, M.Á., Thomsen, I.M. & Oliva, J. (2016) First Report of Phytophthora uniformis and P. plurivora Causing Stem Cankers on Alnus glutinosa in Denmark. Plant Disease.; C. Pintos Varela, Martínez, C.R., Casal, O.A., Vázquez, J.P.M. & Yebra, A.A. (2012) First Report of Phytophthora alni subsp. uniformis on Black Alder in Spain. Disease Notes, 96, 589.",,#N/A,
CAR,Common (or black) alder,Alnus glutinosa,Phytophthora plurivora,"Haque, M.M., Martínez-Álvarez, P., Lomba, J.M., Martín-García, J. & Diez, J.J. (2014) First Report of Phytophthora plurivora Causing Collar Rot on Common Alder in Spain. Disease Notes, 98, 425; Redondo, M.Á., Thomsen, I.M. & Oliva, J. (2016) First Report of Phytophthora uniformis and P. plurivora Causing Stem Cankers on Alnus glutinosa in Denmark. Plant Disease.",,Y,
CAR,Common (or black) alder,Alnus glutinosa,Phytophthora cambivora,"Vannini, A. and Vettraino, A. 2011. Phytophthora cambivora. Forest Phytophthoras 1(1). doi: 10.5399/osu/fp.1.1.1811",,Y,
CAR,Common (or black) alder,Alnus glutinosa,Phytophthora pseudosyringae,"Sansford, C. (2012) Revised Rapid Assessment of the Need for a Detailed Pest Risk Analysis for Phytophthora Pseudosyringae. Sand Hutton, York.",,Y,
CAR,Common (or black) alder,Alnus glutinosa,Phytophthora polonica,"Belbahri, L., Moralejo, E., Calmin, G., Oszako, T., Garc??a, J.A., Descals, E. & Lefort, F. (2006) Phytophthora polonica, a new species isolated from declining Alnus glutinosa stands in Poland. FEMS Microbiology Letters, 261, 165–174.",,N,
,Common (or black) alder,Alnus glutinosa,Phytophthora lacustris (prev. taxon salixsoil),"Kanoun-Boulé, M., Vasconcelos, T., Gaspar, J., Vieira, S., Dias-Ferreira, C. & Husson, C. (2016) Phytophthora × alni and Phytophthora lacustris associated with common alder decline in Central Portugal. Forest Pathology, 46, 174–176.",,,
GAR,Grey alder,Alnus incana,Phytophthora alni subsp. alni,"La Porta, N., Capretti, P., Thomsen, I.M., Kasanen, R., Hietala, a. M. & Von Weissenberg, K. (2008) Forest pathogens with higher damage potential due to climate change in Europe. Canadian Journal of Plant Pathology, 30, 177–195.",,Y,
GAR,Grey alder,Alnus incana,Phytophthora siskiyouensis,"Perez-Sierra, A., Kalantarzadeh, M., Sancisi-Frey, S. & Brasier, C.M. (2015) Phytophthora siskiyouensis causing stem lesions and cankers on Alnus incana. New Disease Reports, 31, 17.",,Y,
RAR,Red alder,Alnus rubra,Phytophthora alni subsp. alni,"Hansen, E.M., 2012. Phythophthora alni. Forest Phytophthoras 2(1). doi: 10.5399/osu/fp.2.1.3031",,Y,
,Green alder,Alnus viridis,Phytophthora alni subsp. alni,"Webber, J., Gibbs, J. & Hendry, S. (2004) Phytophthora Disease of Alder; ",,Y,
SBI,Silver birch,Betula pendula,Phytophthora ramorum,"Webber, J.F., Mullett, M. & Brasier, C.M. (2010) Dieback and mortality of plantation Japanese larch (Larix kaempferi) associated with infection by Phytophthora ramorum. New Disease Reports, 22, 19.",,Y,
,Silver birch,Betula pendula,Phytophthora cactorum ,"Hudler, G.W., 2013. Phytophthora cactorum. Forest Phytophthoras 3(1). doi:10.5399/osu/fp.3.1.3396",,Y,
,Silver birch,Betula pendula,Phytophthora cambivora,"Lilja, A., Thinggaard, K. & Munda, A. (2013) Phytophthora on Betula spp. (birch). JKI Data Sheets, 80.",,Y,
,Silver birch,Betula pendula,Phytophthora gonapodyides,"Lilja, A., Thinggaard, K. & Munda, A. (2013) Phytophthora on Betula spp. (birch). JKI Data Sheets, 80.",,Y,
,Silver birch,Betula pendula,Phytophthora plurivora,"Lilja, A., Thinggaard, K. & Munda, A. (2013) Phytophthora on Betula spp. (birch). JKI Data Sheets, 80.",,Y,
,Silver birch,Betula pendula,Phytophthora pseudogregata,"Lilja, A., Thinggaard, K. & Munda, A. (2013) Phytophthora on Betula spp. (birch). JKI Data Sheets, 80.",,Not in traits DB -pers. Comm from T. Jung to A. Lilja,
DB,Downy birch,Betula pubescens,,,,#N/A,
HBM,Hornbeam,Carpinus betulus,Phytophthora pseudosyringae,"Sansford, C. (2012) Revised Rapid Assessment of the Need for a Detailed Pest Risk Analysis for Phytophthora Pseudosyringae. Sand Hutton, York.",,Y,
SC,Sweet chestnut,Castanea sativa,Phytophthora ramorum,"Webber, J.F., Mullett, M. & Brasier, C.M. (2010) Dieback and mortality of plantation Japanese larch (Larix kaempferi) associated with infection by Phytophthora ramorum. New Disease Reports, 22, 19.",,Y,
,Sweet chestnut,Castanea sativa,Phytophthora megasperma,Plantwise Knowledge Bank Technical Fact Sheet,,Y,
SC,Sweet chestnut,Castanea sativa,Phytophthora cambivora,"Brasier, C. (1999) Phytophthora Pathogens of Trees?: Their Rising Profile in Europe. Forestry Commision Information Note, 1–6; Vannini, A. and Vettraino, A. 2011. Phytophthora cambivora. Forest Phytophthoras 1(1). doi: 10.5399/osu/fp.1.1.1811",,Y,
SC,Sweet chestnut,Castanea sativa,Phytophthora cinnamomi,"Brasier, C. (1999) Phytophthora Pathogens of Trees?: Their Rising Profile in Europe. Forestry Commision Information Note, 1–6.",,Y,
SC,Sweet chestnut,Castanea sativa,Phytophthora pseudosyringae,"Scanu, B., Linaldeddu, B.T. & Franceschini, A. (2010) First Report of Phytophthora pseudosyringae Associated with Ink Disease of Castanea sativa in Italy. Disease Notes, 94, 1068.",,Y,
SC,Sweet chestnut,Castanea sativa,Phytophthora cryptogea,"Perlerou, C., Tziros, G., Vettraino, a. M. & Diamandis, S. (2010) Phytophthora cryptogea causing ink disease of Castanea sativa newly reported in Greece. Plant Pathology, 59, 799–799.",,Y,
,Sweet chestnut,Castanea sativa,Phytophthora cactorum ,"Hudler, G.W., 2013. Phytophthora cactorum. Forest Phytophthoras 3(1). doi:10.5399/osu/fp.3.1.3396",,Y,
,Atlas cedar,Cedrus atlantica,Phytophthora cinnamomi,,,Y,
,Cedar-of-Lebanon,Cedrus libani,Phytophthora syringae,"Do?mu?-Lehtijärvi, T., Kaya, A.G.A., Lehtijärvi, A. & Jung, T. (2014) First Report of Phytophthora syringae on Cedrus libani in Turkey. Plant Disease, 98, 846.",,Y,
LC,Lawson cypress (Port-Orford Cedar),Chamaecyparis lawsoniana,Phytophthora austrocedri,"Green, S., Elliot, M., Armstrong, A. & Hendry, S.J. (2015) Phytophthora austrocedrae emerges as a serious threat to juniper (Juniperus communis) in Britain. Plant Pathology, 64, 456–466.",,Y,
LC,Lawson cypress (Port-Orford Cedar),Chamaecyparis lawsoniana,Phytophthora cinnamomi,"Brasier, C. (1999) Phytophthora Pathogens of Trees?: Their Rising Profile in Europe. Forestry Commision Information Note, 1–6.",,Y,
LC,Lawson cypress (Port-Orford Cedar),Chamaecyparis lawsoniana,Phytophthora lateralis,"Hansen, E. (2015) Phytophthora Species Emerging as Pathogens of Forest Trees. Current Forestry Reports, 1, 16–24.Brasier, C. (1999) Phytophthora Pathogens of Trees?: Their Rising Profile in Europe. Forestry Commision Information Note, 1–6.",,Y,
LC,Lawson cypress (Port-Orford Cedar),Chamaecyparis lawsoniana,Phytophthora ramorum,"Brasier, C.M. & Webber, J.F. (2008) Natural stem infection of Lawson cypress (Chamaecyparis lawsoniana) caused by Phytophthora ramorum. Australasian Plant Pathology, 37, 19–25.",,Y,
LC,Lawson cypress (Port-Orford Cedar),Chamaecyparis lawsoniana,Phytophthora niederhauserii,"Józsa, A., Bakonyi, J., Belbahri, L., Nagy, Z.Á., Szigethy, A., Bohár, G. & Woodward, S. (2010) A new species of Phytophthora reported to cause root and collar rot of common boxwood, Nordmann fir and Port Orford cedar in Hungary. New Disease Reports, 22, 7.",,#N/A,
,Lawson cypress (Port-Orford Cedar),Chamaecyparis lawsoniana,Phytophthora megasperma,Plantwise Knowledge Bank,,Y,
JCR,Japanese red-cedar,Cryptomeria japonica,Phytophthora cinnamomi,Forest Research,,Y,
LEC,Leyland cypress,Cupressocyparis leylandii,Phytophthora cinnamomi,"Martinez, A., Williams-Woodward, J. & Pearse, M. (2009) Diseases of Leyland Cypress In the Landscape.",,Y,
,Cider gum,Eucalyptus gunnii,Phytophthora ramorum,"Brasier, C.M., Beales, P. a, Kirk, S. a, Denman, S. & Rose, J. (2005) Phytophthora kernoviae sp. nov., an invasive pathogen causing bleeding stem lesions on forest trees and foliar necrosis of ornamentals in the UK. Mycological research, 109, 853–859.",,Y,
,Shining gum,Eucalyptus nitens,Phytophthora fallax,"Dick, M.A., Dobbie, K., Cooke, D.E.L. & Brasier, C.M. (2006) Phytophthora captiosa sp. nov. and P. fallax sp. nov. causing crown dieback of Eucalyptus in New Zealand. Mycological Research, 110, 393–404.",,N,
BE,Beech ,Fagus sylvatica,Phytophthora ramorum,"Webber, J.F., Mullett, M. & Brasier, C.M. (2010) Dieback and mortality of plantation Japanese larch (Larix kaempferi) associated with infection by Phytophthora ramorum. New Disease Reports, 22, 19.",,Y,
BE,Beech ,Fagus sylvatica,Phytophthora kernoviae,"Brasier, C.M., Beales, P. a, Kirk, S. a, Denman, S. & Rose, J. (2005) Phytophthora kernoviae sp. nov., an invasive pathogen causing bleeding stem lesions on forest trees and foliar necrosis of ornamentals in the UK. Mycological research, 109, 853–859.",,Y,
BE,Beech ,Fagus sylvatica,Phytophthora cactorum ,"Cerny, K., Strnadova, V., Gregorova, B., Holub, V., Tomsovsky, M., Mrazkova, M. & Gabrielova, S. (2008) Phytophthora cactorum causing bleeding canker of common beech, horse chestnut, and white poplar in the Czech Republic. New Disease Reports, 17, 37.;Vettraino, A.M., Jung, T. & Vannini, A. (2008) First Report of Phytophthora cactorum Associated With Beech Decline in Italy. Plant Disease, 92, 1708; ",,Y,
BE,Beech ,Fagus sylvatica,Phytophthora cambivora,"Telfer, K.H., Brurberg, M.B., Herrero, M.L., Stensvand, A. & Talgø, V. (2015) Phytophthora cambivora found on beech in Norway. Forest Pathology, 45, 415–425; Vannini, A. and Vettraino, A. 2011. Phytophthora cambivora. Forest Phytophthoras 1(1). doi: 10.5399/osu/fp.1.1.1811",,Y,
,Beech ,Fagus sylvatica,Phytophthora citricola,"Orlikowski, L.B., Duda, B. & Szkuta, G. (2004) Phytophthora citricola on European beech and silver fir in Polish forest nurseries. Journal of Plant Protection Research, 44, 57–64.",,Y,
,Beech ,Fagus sylvatica,Phytophthora pseudosyringae,"Redondo, M.Á. & Oliva, J. (2016) First Report of Phytophthora pseudosyringae Causing Stem Canker on Fagus sylvatica in Spain. Plant Disease, 100, 1508–1508.",,Y,
AH,European Ash,Fraxinus excelsior,Phytophthora cactorum ,"Orlikowski, L.B., Ptaszek, M., Rodziewicz, A., Nechwatal, J., Thinggaard, K. & Jung, T. (2011) Phytophthora root and collar rot of mature Fraxinus excelsior in forest stands in Poland and Denmark. Forest Pathology, 41, 510–519.",,Y,
AH,European Ash,Fraxinus excelsior,Phytophthora plurivora,"Orlikowski, L.B., Ptaszek, M., Rodziewicz, A., Nechwatal, J., Thinggaard, K. & Jung, T. (2011) Phytophthora root and collar rot of mature Fraxinus excelsior in forest stands in Poland and Denmark. Forest Pathology, 41, 510–519.",,Y,
AH,European Ash,Fraxinus excelsior,Phytophthora lacustris (prev. taxon salixsoil),"Orlikowski, L.B., Ptaszek, M., Rodziewicz, A., Nechwatal, J., Thinggaard, K. & Jung, T. (2011) Phytophthora root and collar rot of mature Fraxinus excelsior in forest stands in Poland and Denmark. Forest Pathology, 41, 510–519.",,#N/A,
AH,European Ash,Fraxinus excelsior,Phytophthora ramorum,"Orlikowski, L.B., Ptaszek, M., Rodziewicz, A., Nechwatal, J., Thinggaard, K. & Jung, T. (2011) Phytophthora root and collar rot of mature Fraxinus excelsior in forest stands in Poland and Denmark. Forest Pathology, 41, 510–519;Denman, S., Kirk, S., Whybrow, A., Orton, E. & Webber, J.F. (2006) Phytophthora kernoviae and P. ramorum: Host susceptibility and sporulation potential on foliage of susceptible trees. EPPO Bulletin, 36, 373–376.",,Y,
,Black walnut,Juglans nigra,Phytophthora citricola,"Beckerman, J. & Ruhl, G. (2007) Phytophthora citricola causes a stem canker in black walnut (Juglans nigra). Plant Health Progress, 1–3.",,Y,
,Black walnut,Juglans nigra,Phytophthora cinnamomi,Plantwise Knowledge Bank Technical Fact Sheet,,Y,
,Black walnut,Juglans nigra,Phytophthora cactorum ,"Hudler, G.W., 2013. Phytophthora cactorum. Forest Phytophthoras 3(1). doi:10.5399/osu/fp.3.1.3396",,Y,
,Black walnut,Juglans nigra,Phytophthora cambivora,"Vannini, A. and Vettraino, A. 2011. Phytophthora cambivora. Forest Phytophthoras 1(1). doi: 10.5399/osu/fp.1.1.1811",,Y,
,Black walnut,Juglans nigra,Phytophthora plurivora,"Kovács, J., Lakatos, F. & Szabá, I. (2013) Occurrence and diversity of soilborne phytophthoras in a declining black walnut stand in Hungary. Acta Silvatica et Lignaria Hungarica, 9, 57–69.",,Y,
,Common walnut,Juglans regia,Phytophthora citricola,"Beckerman, J. & Ruhl, G. (2007) Phytophthora citricola causes a stem canker in black walnut (Juglans nigra). Plant Health Progress, 1–3.",,Y,
,Common walnut,Juglans regia,Phytophthora megasperma,Plantwise Knowledge Bank Technical Fact Sheet,,Y,
,Common walnut,Juglans regia,Phytophthora cinnamomi,"Guajardo, J., Saa, S., Camps, R. & Besoain, X. (2017) Outbreak of Crown and Root Rot of Walnut Caused by Phytophthora cinnamomi in Chile. Plant Disease, PDIS-09-16-1242; Plantwise Knowledge Bank Technical Fact Sheet",,Y,
,Common walnut,Juglans regia,Phytophthora chlamydospora,"Dervi?, S., Türkölmez, ?., Çiftçi, O. & Uluba? Serçe, Ç. (2016) First Report of Phytophthora chlamydospora Causing Root Rot on Walnut ( Juglans regia ) Trees in Turkey. Plant Disease, 100, 2336.",,,
HL,Hybrid larch,Larix × marschlinsii (Syn. L. × eurolepis),Phytophthora ramorum,CABI ISC Data Sheet,,Y,
EL,European larch,Larix decidua,Phytophthora ramorum,CABI ISC Data Sheet,,Y,
,European larch,Larix decidua,Phytophthora cactorum ,"Hudler, G.W., 2013. Phytophthora cactorum. Forest Phytophthoras 3(1). doi:10.5399/osu/fp.3.1.3396",,Y,
